real,imag
-0.0469397826,0.0273652168
0.1367144616,-0.0489328354
0.4930845413,-0.0005640911
0.5104377807,0.0789594908
0.0355442350,-0.0248789978
-0.1957177450,-0.0915191751
0.0576154811,0.0516347481
0.1249576216,0.0622997981
-0.0916085449,-0.0819208207
-0.0607164233,-0.0143464767
0.0928996437,0.0847887929
0.0048574489,-0.0364354545
-0.0665068733,-0.0540627606
0.0301032345,0.0658378261
0.0257433074,0.0040409661
-0.0373265658,-0.0593228131
0.0111429641,0.0386333885
0.0217691564,0.0229502987
-0.0297453465,-0.0516351317
0.0021689055,0.0197208836
0.0267048426,0.0314458049
-0.0188141592,-0.0427827572
-0.0102054604,0.0048475552
0.0199456864,0.0348797558
-0.0061963555,-0.0316903943
-0.0082218943,-0.0057243429
0.0123864183,0.0326667415
-0.0062715920,-0.0220379538
-0.0071031751,-0.0107745825
0.0137430253,0.0295467958
-0.0029608774,-0.0154806243
-0.0109367060,-0.0144605685
0.0092291590,0.0267835417
0.0021564381,-0.0090769574
-0.0074743291,-0.0169430772
0.0051377510,0.0225242290
0.0001121792,-0.0039501883
-0.0060927708,-0.0170482843
0.0067054052,0.0188185902
0.0015284178,-0.0008752439
-0.0081393699,-0.0171471437
0.0037232312,0.0160559155
0.0041020465,0.0023120916
-0.0051044161,-0.0170953439
0.0014878044,0.0125492024
0.0018473464,0.0048316923
-0.0042345116,-0.0157191956
0.0030329709,0.0096342658
0.0027445510,0.0059633719
-0.0055720718,-0.0146640674
0.0008417479,0.0076139487
0.0041388555,0.0073617834
-0.0030344147,-0.0137955520
-0.0003436678,0.0050687410
0.0020402831,0.0084282720
-0.0026181350,-0.0120494405
0.0010732866,0.0030013674
0.0027568302,0.0084944968
-0.0035612025,-0.0106889665
-0.0006174171,0.0016886747
0.0034915909,0.0088742931
-0.0014893710,-0.0095988626
-0.0011420169,-0.0000351807
0.0016763182,0.0090675632
-0.0014390660,-0.0078918589
0.0000816117,-0.0013421892
0.0023548550,0.0085312818
-0.0021117706,-0.0066085281
-0.0012939744,-0.0020504145
0.0026870093,0.0083578859
-0.0004032073,-0.0055769061
-0.0014003501,-0.0031414694
0.0011345511,0.0080480475
-0.0005989726,-0.0040485461
-0.0003441421,-0.0038469783
0.0017816072,0.0071496670
-0.0011046773,-0.0029561138
-0.0014576476,-0.0040328030
0.0018848905,0.0066309785
0.0002592476,-0.0021314029
-0.0013150337,-0.0045670527
0.0006269475,0.0060551744
-0.0000936677,-0.0009130578
-0.0004644330,-0.0047941738
0.0012487940,0.0050145834
-0.0004326041,-0.0000840183
-0.0013813390,-0.0045767518
0.0011715178,0.0043173328
0.0006589124,0.0004694189
-0.0010518029,-0.0046385429
0.0001527218,0.0036285941
0.0001841047,0.0013039446
-0.0003613465,-0.0044658244
0.0007630265,0.0025969856
-0.0000528875,0.0017940878
-0.0011177685,-0.0039214654
0.0005846266,0.0018805383
0.0008004213,0.0019996162
-0.0006738653,-0.0036054148
-0.0002168743,0.0012398103
0.0002414314,0.0023918855
-0.0001145870,-0.0031206957
0.0003764080,0.0003692693
0.0000541198,0.0024524659
-0.0007174429,-0.0023350071
0.0001831838,-0.0001447597
0.0006410855,0.0022080086
-0.0002425163,-0.0018242553
-0.0003226733,-0.0004788026
0.0000270100,0.0021481649
0.0000891080,-0.0012666813
0.0003053731,-0.0009793439
-0.0000551323,0.0018087847
-0.0004711866,-0.0004801420
0.0001267446,-0.0010657965
0.0003847271,0.0011704188
-0.0000885367,-0.0001025274
-0.0001468114,-0.0008743973
-0.0001079119,0.0008358804
-0.0000261016,0.0001549969
0.0003600640,-0.0008544731
0.0000516809,0.0003568179
-0.0004794100,0.0004919344
0.0000204494,-0.0004121983
0.0004103303,-0.0001645475
-0.0000497488,0.0002101262
-0.0002100047,0.0000525327
